Time,Total Objects,Red Sorted,Blue Sorted,Missed Sorts
17:43:59,1,1,0,0
17:44:02,4,2,0,0
17:44:02,5,3,0,0
17:44:03,6,3,1,0
17:44:04,6,4,1,0
17:44:05,7,4,2,0
17:44:07,9,4,3,0
17:44:08,10,5,3,0
17:44:08,10,6,3,0
17:44:09,12,6,4,0
17:44:11,14,6,5,0
17:44:11,15,6,6,0
17:44:12,15,6,7,0
17:44:12,16,6,8,0
17:44:13,17,6,9,0
17:44:14,17,7,9,0
17:44:15,18,7,10,0
17:44:17,19,7,11,0
17:44:19,20,8,11,0
17:44:19,20,8,11,1
17:44:22,23,8,12,1
17:44:23,23,8,13,1
17:44:24,24,9,13,1
17:44:25,26,10,13,1
17:44:26,27,11,13,1
17:44:27,28,12,13,1
17:44:28,29,13,13,1
17:44:29,30,13,14,1
17:44:29,30,14,14,1
17:44:31,32,14,15,1
17:44:32,34,14,16,1
17:44:33,34,15,16,1
17:44:33,35,16,16,1
17:44:34,36,16,17,1
17:44:35,38,16,18,1
17:44:36,39,16,19,1
17:44:36,39,16,20,1
17:44:37,40,17,20,1
17:44:38,40,18,20,1
17:44:39,40,18,21,1
17:44:41,43,18,22,1
17:44:42,43,19,22,1
17:44:43,44,20,22,1
17:44:44,46,20,22,2
17:44:45,47,20,23,2
17:44:46,49,21,23,2
17:44:47,50,22,23,2
17:44:47,50,23,23,2
17:44:48,50,24,23,2
17:44:49,51,25,23,2
17:44:50,52,26,23,2
17:44:52,54,27,23,2
17:44:53,55,27,24,2
17:44:53,56,28,24,2
17:44:54,56,29,24,2
17:44:55,57,30,24,2
17:44:56,58,31,24,2
